"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Verify X button on Enter Your Bank page is visible","Stashfin Web Automation Suite","Fri Jul 11 08:32:02 IST 2025","skipped","Fri Jul 11 08:32:02 IST 2025","testClassPool.EnterYourBankAccountDetailsTest","Stashfin Web Test Run","testClassPool.EnterYourBankAccountDetailsTest","TC02_verifyXButtonOnEnterYourBankVisible"
"","0","setUp","Stashfin Web Automation Suite","Fri Jul 11 08:32:19 IST 2025","broken","Fri Jul 11 08:32:19 IST 2025","testClassPool.EnterYourBankAccountDetailsTest","Stashfin Web Test Run","testClassPool.EnterYourBankAccountDetailsTest","setUp"
"","0","Test Re-enter Account Number input functionality","Stashfin Web Automation Suite","Fri Jul 11 08:32:12 IST 2025","skipped","Fri Jul 11 08:32:12 IST 2025","testClassPool.EnterYourBankAccountDetailsTest","Stashfin Web Test Run","testClassPool.EnterYourBankAccountDetailsTest","TC12_testReenterAccountNumberInput"
"","394","Test screenshot capture with timestamp","Stashfin Web Automation Suite","Fri Jul 11 08:28:23 IST 2025","passed","Fri Jul 11 08:28:23 IST 2025","testClassPool.ScreenshotTest","Stashfin Web Test Run","testClassPool.ScreenshotTest","testScreenshotCapture"
"","1","Test Account Number input functionality","Stashfin Web Automation Suite","Fri Jul 11 08:32:11 IST 2025","skipped","Fri Jul 11 08:32:11 IST 2025","testClassPool.EnterYourBankAccountDetailsTest","Stashfin Web Test Run","testClassPool.EnterYourBankAccountDetailsTest","TC11_testAccountNumberInput"
"","1","Test checkbox functionality","Stashfin Web Automation Suite","Fri Jul 11 08:32:13 IST 2025","skipped","Fri Jul 11 08:32:13 IST 2025","testClassPool.EnterYourBankAccountDetailsTest","Stashfin Web Test Run","testClassPool.EnterYourBankAccountDetailsTest","TC14_testCheckboxFunctionality"
"","2","Verify Bank Account Details page title is visible","Stashfin Web Automation Suite","Fri Jul 11 08:32:01 IST 2025","skipped","Fri Jul 11 08:32:01 IST 2025","testClassPool.EnterYourBankAccountDetailsTest","Stashfin Web Test Run","testClassPool.EnterYourBankAccountDetailsTest","TC01_verifyPageTitleVisible"
"","2","Verify UPI Auto Pay header is visible","Stashfin Web Automation Suite","Fri Jul 11 08:30:40 IST 2025","skipped","Fri Jul 11 08:30:40 IST 2025","testClassPool.UPIAUTOPAYPAGETest","Stashfin Web Test Run","testClassPool.UPIAUTOPAYPAGETest","TC01_verifyUPIAutoPayHeaderVisible"
"","1","Verify UPI Auto Pay page accessibility","Stashfin Web Automation Suite","Fri Jul 11 08:30:48 IST 2025","skipped","Fri Jul 11 08:30:48 IST 2025","testClassPool.UPIAUTOPAYPAGETest","Stashfin Web Test Run","testClassPool.UPIAUTOPAYPAGETest","TC11_verifyUPIAutoPayPageAccessibility"
"","2","Test form validation with empty address line 2","Stashfin Web Automation Suite","Fri Jul 11 08:29:59 IST 2025","skipped","Fri Jul 11 08:29:59 IST 2025","testClassPool.PersonalDetailsTest","Stashfin Web Test Run","testClassPool.PersonalDetailsTest","TC19_testFormValidationWithEmptyAddressLine2"
"","0","setUp","Stashfin Web Automation Suite","Fri Jul 11 08:29:43 IST 2025","failed","Fri Jul 11 08:29:43 IST 2025","testClassPool.PersonalDetailsTest","Stashfin Web Test Run","testClassPool.PersonalDetailsTest","setUp"
"","56","Verify column value extraction methods","Default Suite","Fri Jul 11 10:19:04 IST 2025","passed","Fri Jul 11 10:19:04 IST 2025","testClassPool.DatabaseOperationsTest","stashfin-website","testClassPool.DatabaseOperationsTest","testColumnValueExtraction"
"","0","Verify Aadhaar KYC data retrieval","Default Suite","Fri Jul 11 10:19:06 IST 2025","skipped","Fri Jul 11 10:19:06 IST 2025","testClassPool.DatabaseOperationsTest","stashfin-website","testClassPool.DatabaseOperationsTest","testGetAadhaarKYCData"
"","2","testAllElementsVisible","Stashfin Web Automation Suite","Fri Jul 11 08:29:02 IST 2025","skipped","Fri Jul 11 08:29:02 IST 2025","testClassPool.JustAFewMoreDetailsToProccedTest","Stashfin Web Test Run","testClassPool.JustAFewMoreDetailsToProccedTest","testAllElementsVisible"
"","353","Verify data consistency between related tables","Default Suite","Fri Jul 11 10:19:06 IST 2025","passed","Fri Jul 11 10:19:06 IST 2025","testClassPool.DatabaseOperationsTest","stashfin-website","testClassPool.DatabaseOperationsTest","testDataConsistency"
